"name";"onsCode";"nomiscode";"nomisoacodes"
"Southwark";"E09000028";1946157256;"1254116073...1254116863;1254258323...1254258324;1254259025...1254259033;1254259767...1254259799;1254259957...1254259964;1254260027...1254260037;1254260245...1254260280;1254260330...1254260332"
"Tower Hamlets";"E09000030";1946157257;"1254117467...1254118025;1254259398...1254259586"
"Wandsworth";"E09000032";1946157258;"1254118726...1254119619;1254262935...1254262988;1254263053...1254263086"
"Westminster";"E09000033";1946157259;"1254119620...1254120302;1254266674...1254266773"
"Barking and Dagenham";"E09000002";1946157260;"1254096923...1254097452;1254258320...1254258320;1254266596...1254266617"
"Barnet";"E09000003";1946157261;"1254097453...1254098454;1254266383...1254266416"
"Bexley";"E09000004";1946157262;"1254098455...1254099168;1254258307...1254258307;1254259144...1254259156"
"Brent";"E09000005";1946157263;"1254099169...1254099937;1254266095...1254266099;1254266223...1254266277"
"Bromley";"E09000006";1946157264;"1254099938...1254100934;1254258303...1254258304;1254258309...1254258309;1254258311...1254258311;1254258573...1254258581;1254259015...1254259024"
"Croydon";"E09000008";1946157265;"1254101652...1254102745;1254258310...1254258310;1254266417...1254266453"
"Ealing";"E09000009";1946157266;"1254102746...1254103674;1254258313...1254258313;1254259221...1254259246"
"Enfield";"E09000010";1946157267;"1254103675...1254104539;1254258315...1254258315;1254263115...1254263151;1254263436...1254263437"
"Greenwich";"E09000011";1946157268;"1254104540...1254105235;1254258308...1254258308;1254267978...1254268089"
"Harrow";"E09000015";1946157269;"1254107182...1254107801;1254258317...1254258317;1254263087...1254263106;1254263114"
"Havering";"E09000016";1946157270;"1254107802...1254108531;1254259157...1254259180"
"Hillingdon";"E09000017";1946157271;"1254108532...1254109290;1254258318...1254258318;1254267949...1254267977"
"Hounslow";"E09000018";1946157272;"1254109291...1254109937;1254258314...1254258314;1254258511...1254258526;1254260420...1254260439;1254261069...1254261098"
"Kingston upon Thames";"E09000021";1946157273;"1254111181...1254111666;1254266360...1254266373"
"Merton";"E09000024";1946157274;"1254113438...1254114064;1254259205...1254259220"
"Redbridge";"E09000026";1946157275;"1254114748...1254115466;1254258321...1254258321;1254266618...1254266673"
"Richmond upon Thames";"E09000027";1946157276;"1254115467...1254116072;1254266374...1254266382"
"Sutton";"E09000029";1946157277;"1254116864...1254117466;1254258365...1254258365;1254259193...1254259204"
"Waltham Forest";"E09000031";1946157278;"1254118026...1254118725;1254263438...1254263460;1254263661...1254263669"
"Bracknell Forest";"E06000036";1946157279;"1254176224...1254176557;1254259034...1254259069"
